timestamp,course,hear_website,hear_social,hear_community,hear_family,hear_student,hear_alumni,hear_teacher,hear_counselor,hear_app,hear_employer,hear_billboard,hear_tv,hear_radio,hear_other,impact_affordability,impact_location,impact_programs,impact_online,impact_referral,impact_faculty,impact_reputation,impact_finaid,impact_scholarships,impact_size,impact_ecs,impact_acceptcred,impact_negative,impact_njstars,impact_transferability,impact_hscredit,major,choice,interest,gender,race,age
2024/09/11 2:09:49 PM AST,CMP 128 Computer Science I,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Not Applicable,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Not Applicable,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,High Impact,Information Technology,Science,0.0,Man,White/Caucasian,18 and younger
2024/09/11 2:10:07 PM AST,CMP 128 Computer Science I,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,Not Applicable,Not Applicable,Not Applicable,Not Applicable,High Impact,ShareTime CSIP Program,First Choice,0.0,Man,Hispanic or Latino,18 and younger
2024/09/11 2:10:12 PM AST,CMP 128 Computer Science I,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,High Impact,ShareTime CSIP Program,Business,0.0,Man,White/Caucasian,18 and younger
2024/09/11 2:10:13 PM AST,CMP 128 Computer Science I,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,High Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,High Impact,ShareTime CSIP Program,First Choice,0.0,Man,White/Caucasian,18 and younger
2024/09/11 2:10:39 PM AST,CMP 128 Computer Science I,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No Impact,No Impact,High Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,Information Technology,First Choice,0.0,Man,White/Caucasian,18 and younger
2024/09/11 2:11:50 PM AST,CMP 128 Computer Science I,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,ShareTime CSIP Program,Non-Major,0.0,Man,American Indian/Native American/Alaska Native;White/Caucasian,18 and younger
2024/09/11 2:13:37 PM AST,CMP 128 Computer Science I,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,Some Impact,High Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,High Impact,Some Impact,Some Impact,Information Technology,First Choice,0.0,Woman,Choose not to reply,18 and younger
2024/09/11 2:17:55 PM AST,CMP 128 Computer Science I,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,High Impact,No Impact,Computer Science,First Choice,0.0,Man,Choose not to reply,18 and younger
2024/09/11 2:18:07 PM AST,CMP 128 Computer Science I,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Some Impact,High Impact,High Impact,Not Applicable,Not Applicable,Not Applicable,Some Impact,Not Applicable,Not Applicable,Some Impact,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,High Impact,Challenger Program,First Choice,0.0,Woman,Asian,18 and younger
2024/09/11 2:18:23 PM AST,CMP 128 Computer Science I,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,High Impact,High Impact,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Computer Science,First Choice,0.0,Man,Black/African American,18 and younger
